combo_id,label,model,horizontal_flip,rotation_range,shift_range,zoom_range,brightness,equalization,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std
1,baseline,resnet50v2,False,0,0.0,0.0,False,none,0.8433396689913115,0.009313011753124243,0.8373941901766745,0.009125081090293932,0.9219743214628111,0.0011759044323976734
2,hist,resnet50v2,False,0,0.0,0.0,False,hist,0.8541950770288826,0.008193903766412028,0.8486583141112188,0.008102677411162829,0.926247935342866,0.005298065950902243
3,adaptive,resnet50v2,False,0,0.0,0.0,False,adaptive,0.83972002201386,0.012002379171470779,0.8345108208839397,0.011533326183583147,0.9152874334228261,0.009063574371338316
4,brightness,resnet50v2,False,0,0.0,0.0,True,none,0.842979313723412,0.01174695702771348,0.8372111884019348,0.010809470389341814,0.9193699034937278,0.009343215114997156
5,brightness+hist,resnet50v2,False,0,0.0,0.0,True,hist,0.8476827743116155,0.010126270223794377,0.8430679020923745,0.00900078419251663,0.9259572529185495,0.0020456463054753455
6,brightness+adaptive,resnet50v2,False,0,0.0,0.0,True,adaptive,0.8473181010612031,0.020137336578101385,0.842095605840303,0.019565123172361178,0.9220549986361188,0.004566209937332845
7,zoom0.1,resnet50v2,False,0,0.0,0.1,False,none,0.8465946427183506,0.010799951168182685,0.8417931962766926,0.011211145678966514,0.9281968446956806,0.00803169567033247
8,zoom0.1+hist,resnet50v2,False,0,0.0,0.1,False,hist,0.8498507940769842,0.015274397813543644,0.844457944364584,0.015542913478370298,0.9243224736895833,0.007142974627961009
9,zoom0.1+adaptive,resnet50v2,False,0,0.0,0.1,False,adaptive,0.842979313723412,0.007040790544352836,0.8378883724646705,0.006949071098566043,0.9233804051606823,0.005927405254536097
10,zoom0.1+brightness,resnet50v2,False,0,0.0,0.1,True,none,0.846230362011803,0.017396676768200968,0.8417757561228875,0.01649117115095474,0.926106631792968,0.005894563233859955
11,zoom0.1+brightness+hist,resnet50v2,False,0,0.0,0.1,True,hist,0.8415331821254366,0.00997027057629683,0.8360929521422816,0.009982110843699097,0.9200440029114471,0.005325598034597206
12,zoom0.1+brightness+adaptive,resnet50v2,False,0,0.0,0.1,True,adaptive,0.8408065834316655,0.012655298397103509,0.8365184241043296,0.011515735274177097,0.9255642157559354,0.006740179260275238
13,shift0.05,resnet50v2,False,0,0.05,0.0,False,none,0.856368199864494,0.008507857101122267,0.8519014956036887,0.0087449721843025,0.9313690545313499,0.003576230073078212
14,shift0.05+hist,resnet50v2,False,0,0.05,0.0,False,hist,0.84514890366424,0.011053716384256819,0.8384712384259428,0.013341489406477133,0.9219668371584185,0.0063209387730569855
15,shift0.05+adaptive,resnet50v2,False,0,0.05,0.0,False,adaptive,0.8408069759755303,0.01570034027183399,0.8362631901840873,0.015024627085254873,0.9242863249089851,0.007141478301033376
16,shift0.05+brightness,resnet50v2,False,0,0.05,0.0,True,none,0.8520258796319194,0.004887180008283383,0.8472283710847396,0.004482550407594819,0.9290023612424448,0.0033943204955768076
17,shift0.05+brightness+hist,resnet50v2,False,0,0.05,0.0,True,hist,0.8563642744258457,0.009929961852880897,0.8510950013356569,0.00924118389806391,0.9296253608258342,0.004207505484384338
